,dots_exten,X,Y
104,0.129151,174.41874999999004,-36.617916667661234
105,0.129508,174.69708333332358,-36.58708333432668
106,0.253946,173.9645833333234,-36.092916667641475
107,2.30405,174.34958333332338,-35.74958333429561
108,0.116297,174.1179166666568,-35.334583334280296
109,0.155273,150.5920833333247,-35.176250000941195
110,0.16722,138.4695833333251,-35.12708333427281
111,0.230652,173.25541666665663,-34.998750000934876
112,4.54376,151.1145833333244,-34.003750000899345
113,0.273169,151.1895833333242,-33.96458333423129
114,3.68886,151.16874999999095,-33.948750000897405
115,0.256322,151.28958333332434,-33.787083334225144
116,0.109745,151.36624999999094,-33.4383333368238
117,0.155749,151.4454166666577,-33.30791666754186
118,0.486769,151.6145833333245,-32.962083334196564
119,0.631729,151.7770833333244,-32.92375000086196
120,0.443748,151.7429166666576,-32.85041666752602
121,5.55176,115.73708333332615,-32.05625000083245
122,0.122374,153.0029166666577,-30.652916667452928
123,0.120074,153.0312499999909,-30.500416667447837
124,0.347517,153.13958333332425,-30.297083334108038
125,0.115737,153.55291666665767,-28.52875000071856
126,0.288906,153.48208333332434,-28.128750000706248
127,0.927029,153.40874999999107,-27.913750000699736
128,1.91947,153.14041666665753,-27.396250000683892
129,0.535193,153.09291666665786,-27.337916667348793
130,0.699238,153.08541666665747,-27.331250000681905
131,0.708202,153.03874999999084,-27.150416667342938
132,0.325624,152.3829166666576,-24.792916667273403
133,0.176248,149.20791666665764,-21.07541666716918
134,0.164691,169.3254166666569,-19.596250000462533
135,0.304569,169.27874999999062,-19.552083333794826
136,0.966148,169.26458333332403,-19.531250000460886
137,0.139309,169.24916666665706,-19.520416664903564
138,0.144773,169.46041666665678,-19.51041666712689
139,0.142457,169.22166666665703,-19.457083331613774
140,0.190002,169.24916666665706,-19.38791666499509
141,0.199282,178.10624999999004,-19.077083333782184
142,0.295152,178.11374999998975,-19.077083333782184
143,0.278626,178.11708333332342,-19.077083333782184
144,0.378571,178.0029166666567,-18.259583333760645
145,0.36729,178.0545833333233,-18.25958333376053
146,5.71634,178.1537499999897,-18.2587500004272
147,0.378161,177.87374999998974,-18.2562500004272
148,0.25008,177.93708333332324,-18.2562500004272
149,0.96359,178.06791666665652,-18.2562500004272
150,1.13606,177.8687499999902,-18.251250000427035
151,0.108718,177.82624999998984,-18.23791666709343
152,0.487821,177.78374999999016,-18.22958333375982
153,0.251081,177.72874999998976,-18.21375000042616
154,0.397221,177.69291666665663,-18.202916667092552
155,0.300301,178.20041666665668,-18.197916667092443
156,1.18747,178.24708333332342,-18.184583333758667
157,0.468413,177.6079166666567,-18.182916667091888
158,0.612469,177.59458333332327,-18.177083333758446
159,0.111727,178.2512499999899,-18.17541666709178
160,18.6777,177.51874999998995,-18.171250000425005
161,0.146804,177.5404166666567,-18.169583333758283
162,0.379739,177.46958333332338,-18.16625000042484
163,13.7052,178.4512499999903,-18.150416667091065
164,0.154933,178.29291666665654,-18.148750000424343
165,64.8704,178.52374999998983,-18.1429166670909
166,2.39117,177.4187499999898,-18.132083333757407
167,0.267627,177.40291666665644,-18.131250000423847
168,43.5376,178.46708333332344,-18.13125000042396
169,0.601434,178.32541666665657,-18.123750000423684
170,4.90208,178.51624999999,-18.122083333757075
171,2.98072,178.42874999999026,-18.115416667090187
172,0.726964,178.41208333332327,-18.113750000423522
173,0.122804,178.3783333333232,-18.11291666596867
174,6.04268,178.49374999998997,-18.107916667090024
175,5.55837,177.30208333332337,-18.064583333755593
176,0.802803,177.29624999999032,-18.03791666708821
